2022-07-29 21:19:55,578 - __main__ - ERROR - Could not find library in database! file_path: /root/yanhui/libraries/contentdock-sdk-ios-universal_1.5.0
2022-07-29 21:42:31,590 - __main__ - DEBUG - parse_code_files
2022-07-29 21:42:31,591 - __main__ - DEBUG - method signs: []
2022-07-29 21:42:31,591 - __main__ - DEBUG - strings: []
2022-07-29 21:42:31,591 - __main__ - DEBUG - method signs: []
2022-07-29 21:42:31,591 - __main__ - DEBUG - strings: []
2022-07-29 21:42:31,592 - __main__ - DEBUG - method signs: []
2022-07-29 21:42:31,592 - __main__ - DEBUG - strings: []
2022-07-29 21:42:31,592 - __main__ - DEBUG - method signs: []
2022-07-29 21:42:31,592 - __main__ - DEBUG - strings: []
2022-07-29 21:42:31,595 - __main__ - DEBUG - method signs: []
2022-07-29 21:42:31,595 - __main__ - DEBUG - strings: []
2022-07-29 21:42:31,601 - __main__ - DEBUG - processing library: Material, version: 2.3.20
2022-07-29 21:42:31,601 - __main__ - DEBUG - method signs: []
2022-07-29 21:42:31,601 - __main__ - DEBUG - strings: []
2022-07-29 21:42:31,601 - __main__ - DEBUG - method signs: []
2022-07-29 21:42:31,601 - __main__ - DEBUG - strings: []
2022-07-29 21:42:31,601 - __main__ - DEBUG - method signs: []
2022-07-29 21:42:31,602 - __main__ - DEBUG - strings: []
2022-07-29 21:42:31,629 - __main__ - DEBUG - parse_code_files
2022-07-29 21:42:31,629 - __main__ - DEBUG - method signs: []
2022-07-29 21:42:31,631 - __main__ - DEBUG - strings: []
2022-07-29 21:42:31,634 - __main__ - DEBUG - parse_code_files
2022-07-29 21:42:31,634 - __main__ - DEBUG - method signs: []
2022-07-29 21:42:31,634 - __main__ - DEBUG - strings: []
2022-07-29 21:42:31,635 - __main__ - DEBUG - method signs: []
2022-07-29 21:42:31,635 - __main__ - DEBUG - strings: []
2022-07-29 21:42:31,637 - __main__ - DEBUG - parse_code_files
2022-07-29 21:42:31,637 - __main__ - DEBUG - method signs: []
2022-07-29 21:42:31,637 - __main__ - DEBUG - strings: []
2022-07-29 21:42:31,638 - __main__ - DEBUG - method signs: []
2022-07-29 21:42:31,638 - __main__ - DEBUG - strings: []
2022-07-29 21:42:31,640 - __main__ - DEBUG - parse_code_files
2022-07-29 21:42:31,640 - __main__ - DEBUG - method signs: []
2022-07-29 21:42:31,640 - __main__ - DEBUG - strings: []
